branch_id,branch_name,city,region,branch_type,tier,month,year,month_num,quarter,headcount,total_transactions,new_accounts_opened,revenue_lakhs,expenses_lakhs,profit_lakhs,profit_margin_pct,loan_disbursed_lakhs,deposits_lakhs,npa_ratio_pct,digital_txn_pct,revenue_per_txn_inr,cost_efficiency,revenue_per_staff,customer_satisfaction
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-11,2021,11,Q4,17,3513,173,30.29,11.68,18.61,61.44,195.1,213.04,2.56,82.19,862.23,0.3856,1.7818,3.98
BRN001,Anna Nagar,Chennai,South,Metro,mid,2021-12,2021,12,Q4,17,3652,179,31.48,11.77,19.71,62.61,202.77,221.42,1.9,71.35,861.99,0.3739,1.8518,3.98
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-01,2022,1,Q1,17,2855,140,24.62,11.18,13.44,54.59,158.55,173.14,1.39,74.08,862.35,0.4541,1.4482,3.32
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-02,2022,2,Q1,17,2952,145,25.45,10.97,14.48,56.9,163.94,179.02,2.19,83.17,862.13,0.431,1.4971,3.45
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-03,2022,3,Q1,17,3333,164,28.74,12.25,16.49,57.38,185.08,202.1,2.76,84.55,862.29,0.4262,1.6906,3.76
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-04,2022,4,Q2,17,3308,163,28.52,11.09,17.43,61.12,183.71,200.61,2.07,80.32,862.15,0.3888,1.6776,3.57
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-05,2022,5,Q2,17,3463,170,29.86,11.34,18.52,62.02,192.29,209.98,1.27,87.35,862.26,0.3798,1.7565,3.7
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-06,2022,6,Q2,17,3693,181,31.84,11.96,19.88,62.44,205.09,223.95,0.92,65.93,862.17,0.3756,1.8729,3.47
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-07,2022,7,Q3,17,3642,179,31.4,11.11,20.29,64.62,202.25,220.85,0.76,85.6,862.16,0.3538,1.8471,3.61
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-08,2022,8,Q3,17,3561,175,30.71,11.74,18.97,61.77,197.76,215.95,0.59,78.9,862.4,0.3823,1.8065,3.79
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-09,2022,9,Q3,17,3569,175,30.77,11.24,19.53,63.47,198.16,216.39,1.88,80.98,862.15,0.3653,1.81,3.97
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-10,2022,10,Q4,17,3895,191,33.58,11.82,21.76,64.8,216.29,236.18,0.5,75.5,862.13,0.352,1.9753,3.51
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-11,2022,11,Q4,17,3590,176,30.95,11.53,19.42,62.75,199.35,217.69,1.11,67.81,862.12,0.3725,1.8206,3.92
BRN001,Anna Nagar,Chennai,South,Metro,mid,2022-12,2022,12,Q4,17,3850,189,33.19,12.22,20.97,63.18,213.78,233.44,2.01,65.01,862.08,0.3682,1.9524,3.5
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-01,2023,1,Q1,17,3123,153,26.93,11.38,15.55,57.74,173.45,189.41,1.7,76.15,862.31,0.4226,1.5841,3.42
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-02,2023,2,Q1,17,3434,169,29.61,11.33,18.28,61.74,190.71,208.25,0.67,70.03,862.26,0.3826,1.7418,3.48
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-03,2023,3,Q1,17,3578,176,30.85,11.52,19.33,62.66,198.67,216.94,0.91,70.68,862.21,0.3734,1.8147,3.35
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-04,2023,4,Q2,17,3742,184,32.26,11.95,20.31,62.96,207.8,226.91,2.99,71.14,862.11,0.3704,1.8976,3.41
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-05,2023,5,Q2,17,4005,197,34.53,11.53,23.0,66.61,222.37,242.83,1.17,79.59,862.17,0.3339,2.0312,3.33
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-06,2023,6,Q2,17,3884,191,33.49,11.69,21.8,65.09,215.7,235.54,1.75,78.63,862.26,0.3491,1.97,3.62
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-07,2023,7,Q3,17,3512,173,30.28,11.47,18.81,62.12,195.03,212.97,2.45,75.82,862.19,0.3788,1.7812,3.48
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-08,2023,8,Q3,17,4210,207,36.29,11.51,24.78,68.28,233.76,255.26,2.44,68.47,862.0,0.3172,2.1347,3.88
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-09,2023,9,Q3,17,3841,189,33.12,11.92,21.2,64.01,213.31,232.93,1.11,70.07,862.28,0.3599,1.9482,3.91
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-10,2023,10,Q4,17,4096,201,35.32,12.08,23.24,65.8,227.47,248.39,0.47,86.63,862.3,0.342,2.0776,3.55
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-11,2023,11,Q4,17,4018,197,34.65,11.68,22.97,66.29,223.14,243.67,2.09,81.91,862.37,0.3371,2.0382,3.89
BRN001,Anna Nagar,Chennai,South,Metro,mid,2023-12,2023,12,Q4,17,4054,199,34.95,11.71,23.24,66.49,225.13,245.84,0.84,69.02,862.11,0.3351,2.0559,3.79
BRN002,T Nagar,Chennai,South,Metro,mid,2021-01,2021,1,Q1,15,2336,98,20.78,14.48,6.3,30.32,97.12,101.53,2.23,85.63,889.55,0.6968,1.3853,3.91
BRN002,T Nagar,Chennai,South,Metro,mid,2021-02,2021,2,Q1,15,2525,106,22.46,15.26,7.2,32.06,104.96,109.72,0.44,68.72,889.5,0.6794,1.4973,4.12
BRN002,T Nagar,Chennai,South,Metro,mid,2021-03,2021,3,Q1,15,2698,114,24.0,14.96,9.04,37.67,112.17,117.26,0.48,80.26,889.55,0.6233,1.6,3.67
BRN002,T Nagar,Chennai,South,Metro,mid,2021-04,2021,4,Q2,15,2341,99,20.82,14.17,6.65,31.94,97.32,101.74,2.14,80.0,889.36,0.6806,1.388,4.05
BRN002,T Nagar,Chennai,South,Metro,mid,2021-05,2021,5,Q2,15,2492,105,22.17,15.14,7.03,31.71,103.61,108.31,1.11,82.17,889.65,0.6829,1.478,3.83
BRN002,T Nagar,Chennai,South,Metro,mid,2021-06,2021,6,Q2,15,2747,116,24.44,15.39,9.05,37.03,114.2,119.38,1.79,67.15,889.7,0.6297,1.6293,4.13
BRN002,T Nagar,Chennai,South,Metro,mid,2021-07,2021,7,Q3,15,2637,111,23.46,14.35,9.11,38.83,109.62,114.59,2.92,74.04,889.65,0.6117,1.564,3.84
BRN002,T Nagar,Chennai,South,Metro,mid,2021-08,2021,8,Q3,15,2948,124,26.22,15.0,11.22,42.79,122.55,128.11,1.61,78.27,889.42,0.5721,1.748,4.22
BRN002,T Nagar,Chennai,South,Metro,mid,2021-09,2021,9,Q3,15,2724,115,24.23,14.23,10.0,41.27,113.23,118.36,0.99,65.56,889.5,0.5873,1.6153,4.17
BRN002,T Nagar,Chennai,South,Metro,mid,2021-10,2021,10,Q4,15,2880,121,25.61,14.19,11.42,44.59,119.71,125.14,2.87,86.04,889.24,0.5541,1.7073,4.33
BRN002,T Nagar,Chennai,South,Metro,mid,2021-11,2021,11,Q4,15,2843,120,25.29,13.91,11.38,45.0,118.19,123.55,1.4,87.23,889.55,0.55,1.686,4.32
BRN002,T Nagar,Chennai,South,Metro,mid,2021-12,2021,12,Q4,15,3296,139,29.32,15.39,13.93,47.51,137.02,143.23,1.28,84.58,889.56,0.5249,1.9547,3.87
BRN002,T Nagar,Chennai,South,Metro,mid,2022-01,2022,1,Q1,15,2405,101,21.39,14.18,7.21,33.71,99.98,104.51,2.82,81.01,889.4,0.6629,1.426,4.06
BRN002,T Nagar,Chennai,South,Metro,mid,2022-02,2022,2,Q1,15,2605,110,23.17,14.05,9.12,39.36,108.3,113.21,2.97,68.22,889.44,0.6064,1.5447,4.1
BRN002,T Nagar,Chennai,South,Metro,mid,2022-03,2022,3,Q1,15,2753,116,24.49,15.44,9.05,36.95,114.46,119.65,2.15,81.16,889.58,0.6305,1.6327,4.19
BRN002,T Nagar,Chennai,South,Metro,mid,2022-04,2022,4,Q2,15,2731,115,24.29,14.4,9.89,40.72,113.51,118.66,2.47,84.94,889.42,0.5928,1.6193,4.23
BRN002,T Nagar,Chennai,South,Metro,mid,2022-05,2022,5,Q2,15,3071,129,27.32,14.79,12.53,45.86,127.67,133.46,2.44,79.95,889.61,0.5414,1.8213,4.02
BRN002,T Nagar,Chennai,South,Metro,mid,2022-06,2022,6,Q2,15,3022,127,26.88,15.29,11.59,43.12,125.62,131.31,1.15,73.64,889.48,0.5688,1.792,4.29
BRN002,T Nagar,Chennai,South,Metro,mid,2022-07,2022,7,Q3,15,2729,115,24.28,14.91,9.37,38.59,113.45,118.6,1.5,77.48,889.7,0.6141,1.6187,3.69
BRN002,T Nagar,Chennai,South,Metro,mid,2022-08,2022,8,Q3,15,2886,122,25.67,14.93,10.74,41.84,119.98,125.42,0.3,83.92,889.47,0.5816,1.7113,3.69
BRN002,T Nagar,Chennai,South,Metro,mid,2022-09,2022,9,Q3,15,2898,122,25.78,14.11,11.67,45.27,120.48,125.94,2.36,69.96,889.58,0.5473,1.7187,4.03
BRN002,T Nagar,Chennai,South,Metro,mid,2022-10,2022,10,Q4,15,3126,132,27.81,14.03,13.78,49.55,129.97,135.86,1.69,77.43,889.64,0.5045,1.854,3.7
BRN002,T Nagar,Chennai,South,Metro,mid,2022-11,2022,11,Q4,15,3252,137,28.92,15.17,13.75,47.54,135.17,141.3,1.65,72.43,889.3,0.5246,1.928,4.35
BRN002,T Nagar,Chennai,South,Metro,mid,2022-12,2022,12,Q4,15,3492,147,31.06,14.36,16.7,53.77,145.17,151.75,0.42,65.58,889.46,0.4623,2.0707,3.98
BRN002,T Nagar,Chennai,South,Metro,mid,2023-01,2023,1,Q1,15,2917,123,25.94,15.36,10.58,40.79,121.24,126.74,1.35,68.99,889.27,0.5921,1.7293,4.15
BRN002,T Nagar,Chennai,South,Metro,mid,2023-02,2023,2,Q1,15,2613,110,23.24,14.32,8.92,38.38,108.62,113.55,2.2,80.18,889.4,0.6162,1.5493,4.05
BRN002,T Nagar,Chennai,South,Metro,mid,2023-03,2023,3,Q1,15,2853,120,25.38,15.57,9.81,38.65,118.61,123.99,1.75,79.07,889.59,0.6135,1.692,4.18
BRN002,T Nagar,Chennai,South,Metro,mid,2023-04,2023,4,Q2,15,2989,126,26.59,14.32,12.27,46.15,124.25,129.88,2.32,65.33,889.6,0.5385,1.7727,3.92
BRN002,T Nagar,Chennai,South,Metro,mid,2023-05,2023,5,Q2,15,2881,121,25.62,13.96,11.66,45.51,119.76,125.19,2.6,81.18,889.27,0.5449,1.708,3.7
BRN002,T Nagar,Chennai,South,Metro,mid,2023-06,2023,6,Q2,15,3142,132,27.95,14.05,13.9,49.73,130.61,136.53,1.53,68.98,889.56,0.5027,1.8633,4.01
BRN002,T Nagar,Chennai,South,Metro,mid,2023-07,2023,7,Q3,15,3150,133,28.02,14.59,13.43,47.93,130.93,136.86,1.98,66.04,889.52,0.5207,1.868,4.1
BRN002,T Nagar,Chennai,South,Metro,mid,2023-08,2023,8,Q3,15,3176,134,28.25,14.99,13.26,46.94,132.03,138.02,2.6,80.15,889.48,0.5306,1.8833,4.02
BRN002,T Nagar,Chennai,South,Metro,mid,2023-09,2023,9,Q3,15,3023,127,26.89,14.01,12.88,47.9,125.67,131.37,0.27,78.47,889.51,0.521,1.7927,4.12
BRN002,T Nagar,Chennai,South,Metro,mid,2023-10,2023,10,Q4,15,3574,151,31.79,14.9,16.89,53.13,148.56,155.3,2.0,75.54,889.48,0.4687,2.1193,3.94
BRN002,T Nagar,Chennai,South,Metro,mid,2023-11,2023,11,Q4,15,3463,146,30.81,15.55,15.26,49.53,143.97,150.5,2.89,85.82,889.69,0.5047,2.054,3.94
BRN002,T Nagar,Chennai,South,Metro,mid,2023-12,2023,12,Q4,15,3393,143,30.18,14.0,16.18,53.61,141.06,147.45,0.25,67.17,889.48,0.4639,2.012,3.74
BRN003,Velachery,Chennai,South,Metro,mid,2021-01,2021,1,Q1,13,1647,69,16.24,16.28,-0.04,-0.25,102.29,163.86,2.66,81.91,986.04,1.0025,1.2492,3.66
BRN003,Velachery,Chennai,South,Metro,mid,2021-02,2021,2,Q1,13,1930,81,19.03,15.49,3.54,18.6,119.83,191.96,2.3,83.56,986.01,0.814,1.4638,3.35
BRN003,Velachery,Chennai,South,Metro,mid,2021-03,2021,3,Q1,13,2125,89,20.95,15.73,5.22,24.92,131.9,211.29,2.37,72.84,985.88,0.7508,1.6115,3.48
BRN003,Velachery,Chennai,South,Metro,mid,2021-04,2021,4,Q2,13,2147,90,21.17,16.59,4.58,21.63,133.32,213.56,2.3,82.35,986.03,0.7837,1.6285,3.52
BRN003,Velachery,Chennai,South,Metro,mid,2021-05,2021,5,Q2,13,1888,79,18.62,16.67,1.95,10.47,117.23,187.79,2.51,72.36,986.23,0.8953,1.4323,3.58
BRN003,Velachery,Chennai,South,Metro,mid,2021-06,2021,6,Q2,13,2222,93,21.91,15.69,6.22,28.39,137.94,220.97,2.74,67.1,986.05,0.7161,1.6854,3.23
BRN003,Velachery,Chennai,South,Metro,mid,2021-07,2021,7,Q3,13,2026,85,19.98,16.76,3.22,16.12,125.81,201.53,1.81,79.53,986.18,0.8388,1.5369,3.89
BRN003,Velachery,Chennai,South,Metro,mid,2021-08,2021,8,Q3,13,2115,89,20.86,15.51,5.35,25.65,131.33,210.38,2.08,82.3,986.29,0.7435,1.6046,3.45
BRN003,Velachery,Chennai,South,Metro,mid,2021-09,2021,9,Q3,13,2226,94,21.94,16.45,5.49,25.02,138.19,221.37,1.58,66.32,985.62,0.7498,1.6877,3.29
BRN003,Velachery,Chennai,South,Metro,mid,2021-10,2021,10,Q4,13,2195,92,21.64,15.79,5.85,27.03,136.29,218.33,1.18,67.69,985.88,0.7297,1.6646,3.84
BRN003,Velachery,Chennai,South,Metro,mid,2021-11,2021,11,Q4,13,2112,89,20.82,16.4,4.42,21.23,131.13,210.06,0.48,66.93,985.8,0.7877,1.6015,3.66
BRN003,Velachery,Chennai,South,Metro,mid,2021-12,2021,12,Q4,13,2444,103,24.1,15.09,9.01,37.39,151.74,243.09,2.18,66.87,986.09,0.6261,1.8538,3.8
BRN003,Velachery,Chennai,South,Metro,mid,2022-01,2022,1,Q1,13,1784,75,17.59,16.83,0.76,4.32,110.77,177.45,1.24,83.69,985.99,0.9568,1.3531,3.48
BRN003,Velachery,Chennai,South,Metro,mid,2022-02,2022,2,Q1,13,2155,91,21.25,16.83,4.42,20.8,133.82,214.37,1.25,66.92,986.08,0.792,1.6346,3.75
BRN003,Velachery,Chennai,South,Metro,mid,2022-03,2022,3,Q1,13,2234,94,22.03,16.01,6.02,27.33,138.7,222.18,2.74,67.56,986.12,0.7267,1.6946,3.52
BRN003,Velachery,Chennai,South,Metro,mid,2022-04,2022,4,Q2,13,2169,91,21.39,14.97,6.42,30.01,134.68,215.75,0.36,67.73,986.17,0.6999,1.6454,3.55
BRN003,Velachery,Chennai,South,Metro,mid,2022-05,2022,5,Q2,13,2064,87,20.35,16.19,4.16,20.44,128.14,205.27,1.83,87.13,985.95,0.7956,1.5654,3.74
BRN003,Velachery,Chennai,South,Metro,mid,2022-06,2022,6,Q2,13,2210,93,21.79,15.49,6.3,28.91,137.2,219.79,0.83,87.15,985.97,0.7109,1.6762,3.83
BRN003,Velachery,Chennai,South,Metro,mid,2022-07,2022,7,Q3,13,2083,88,20.53,16.8,3.73,18.17,129.29,207.12,2.7,77.14,985.6,0.8183,1.5792,3.25
BRN003,Velachery,Chennai,South,Metro,mid,2022-08,2022,8,Q3,13,2534,107,24.98,15.09,9.89,39.59,157.31,252.0,2.91,77.03,985.79,0.6041,1.9215,3.61
BRN003,Velachery,Chennai,South,Metro,mid,2022-09,2022,9,Q3,13,2359,99,23.26,16.28,6.98,30.01,146.45,234.6,1.96,78.44,986.01,0.6999,1.7892,3.54
BRN003,Velachery,Chennai,South,Metro,mid,2022-10,2022,10,Q4,13,2543,107,25.07,15.03,10.04,40.05,157.87,252.91,2.86,85.48,985.84,0.5995,1.9285,3.42
BRN003,Velachery,Chennai,South,Metro,mid,2022-11,2022,11,Q4,13,2441,103,24.06,16.13,7.93,32.96,151.53,242.74,0.73,75.67,985.66,0.6704,1.8508,3.42
BRN003,Velachery,Chennai,South,Metro,mid,2022-12,2022,12,Q4,13,2503,105,24.68,16.06,8.62,34.93,155.41,248.96,2.93,87.68,986.02,0.6507,1.8985,3.28
BRN003,Velachery,Chennai,South,Metro,mid,2023-01,2023,1,Q1,13,2162,91,21.32,15.97,5.35,25.09,134.23,215.03,2.48,80.75,986.12,0.7491,1.64,3.44
BRN003,Velachery,Chennai,South,Metro,mid,2023-02,2023,2,Q1,13,2028,85,20.0,16.69,3.31,16.55,125.93,201.74,2.86,81.69,986.19,0.8345,1.5385,3.8
BRN003,Velachery,Chennai,South,Metro,mid,2023-03,2023,3,Q1,13,2351,99,23.17,15.75,7.42,32.02,145.93,233.78,2.62,66.04,985.54,0.6798,1.7823,3.88
BRN003,Velachery,Chennai,South,Metro,mid,2023-04,2023,4,Q2,13,2151,90,21.21,15.67,5.54,26.12,133.55,213.93,2.96,68.46,986.05,0.7388,1.6315,3.79
BRN003,Velachery,Chennai,South,Metro,mid,2023-05,2023,5,Q2,13,2440,103,24.06,15.67,8.39,34.87,151.5,242.69,2.56,84.28,986.07,0.6513,1.8508,3.9
BRN003,Velachery,Chennai,South,Metro,mid,2023-06,2023,6,Q2,13,2434,102,23.99,15.74,8.25,34.39,151.1,242.05,0.36,84.89,985.62,0.6561,1.8454,3.41
BRN003,Velachery,Chennai,South,Metro,mid,2023-07,2023,7,Q3,13,2611,110,25.74,16.86,8.88,34.5,162.08,259.65,1.76,82.69,985.83,0.655,1.98,3.92
BRN003,Velachery,Chennai,South,Metro,mid,2023-08,2023,8,Q3,13,2721,115,26.83,16.57,10.26,38.24,168.94,270.64,1.46,67.97,986.03,0.6176,2.0638,3.4
BRN003,Velachery,Chennai,South,Metro,mid,2023-09,2023,9,Q3,13,2700,114,26.61,16.1,10.51,39.5,167.59,268.48,2.08,79.22,985.56,0.605,2.0469,3.38
BRN003,Velachery,Chennai,South,Metro,mid,2023-10,2023,10,Q4,13,2502,105,24.67,15.16,9.51,38.55,155.33,248.83,1.66,82.76,986.01,0.6145,1.8977,3.69
BRN003,Velachery,Chennai,South,Metro,mid,2023-11,2023,11,Q4,13,2673,113,26.35,16.57,9.78,37.12,165.96,265.86,1.77,85.16,985.78,0.6288,2.0269,3.61
BRN003,Velachery,Chennai,South,Metro,mid,2023-12,2023,12,Q4,13,2735,115,26.97,15.2,11.77,43.64,169.81,272.02,2.31,79.27,986.11,0.5636,2.0746,3.24
BRN004,Adyar,Chennai,South,Metro,high,2021-01,2021,1,Q1,21,4021,183,40.5,22.94,17.56,43.36,262.49,391.93,1.03,75.37,1007.21,0.5664,1.9286,4.54
BRN004,Adyar,Chennai,South,Metro,high,2021-02,2021,2,Q1,21,4423,201,44.56,23.54,21.02,47.17,288.75,431.15,1.29,83.32,1007.46,0.5283,2.1219,4.4
BRN004,Adyar,Chennai,South,Metro,high,2021-03,2021,3,Q1,21,4361,199,43.93,25.12,18.81,42.82,284.71,425.12,0.21,66.05,1007.34,0.5718,2.0919,4.57
BRN004,Adyar,Chennai,South,Metro,high,2021-04,2021,4,Q2,21,4582,209,46.16,23.69,22.47,48.68,299.15,446.68,1.09,72.86,1007.42,0.5132,2.1981,4.18
BRN004,Adyar,Chennai,South,Metro,high,2021-05,2021,5,Q2,21,4607,210,46.41,24.01,22.4,48.27,300.77,449.08,0.78,81.05,1007.38,0.5173,2.21,4.45
BRN004,Adyar,Chennai,South,Metro,high,2021-06,2021,6,Q2,21,4399,200,44.31,24.7,19.61,44.26,287.19,428.81,1.59,76.85,1007.27,0.5574,2.11,4.32
BRN004,Adyar,Chennai,South,Metro,high,2021-07,2021,7,Q3,21,5115,233,51.53,24.42,27.11,52.61,333.93,498.6,1.5,72.94,1007.43,0.4739,2.4538,4.19
BRN004,Adyar,Chennai,South,Metro,high,2021-08,2021,8,Q3,21,4674,213,47.08,22.77,24.31,51.64,305.1,455.55,1.01,73.19,1007.27,0.4836,2.2419,4.42
BRN004,Adyar,Chennai,South,Metro,high,2021-09,2021,9,Q3,21,5097,232,51.35,23.05,28.3,55.11,332.76,496.86,0.65,67.12,1007.46,0.4489,2.4452,4.27
BRN004,Adyar,Chennai,South,Metro,high,2021-10,2021,10,Q4,21,4880,222,49.16,24.67,24.49,49.82,318.59,475.7,0.37,73.68,1007.38,0.5018,2.341,4.39
BRN004,Adyar,Chennai,South,Metro,high,2021-11,2021,11,Q4,21,4625,211,46.59,25.19,21.4,45.93,301.93,450.83,1.12,87.68,1007.35,0.5407,2.2186,4.1
BRN004,Adyar,Chennai,South,Metro,high,2021-12,2021,12,Q4,21,5344,244,53.83,25.36,28.47,52.89,348.85,520.88,1.39,77.22,1007.3,0.4711,2.5633,4.2
BRN004,Adyar,Chennai,South,Metro,high,2022-01,2022,1,Q1,21,4512,206,45.45,22.86,22.59,49.7,294.56,439.82,0.33,80.8,1007.31,0.503,2.1643,4.14
BRN004,Adyar,Chennai,South,Metro,high,2022-02,2022,2,Q1,21,4768,217,48.03,24.85,23.18,48.26,311.26,464.75,1.57,73.15,1007.34,0.5174,2.2871,4.06
BRN004,Adyar,Chennai,South,Metro,high,2022-03,2022,3,Q1,21,4700,214,47.35,22.98,24.37,51.47,306.84,458.15,0.41,77.97,1007.45,0.4853,2.2548,4.55
BRN004,Adyar,Chennai,South,Metro,high,2022-04,2022,4,Q2,21,5188,236,52.27,22.94,29.33,56.11,338.71,505.74,0.5,72.89,1007.52,0.4389,2.489,4.41
BRN004,Adyar,Chennai,South,Metro,high,2022-05,2022,5,Q2,21,4965,226,50.01,23.71,26.3,52.59,324.12,483.96,0.92,78.44,1007.25,0.4741,2.3814,4.49
BRN004,Adyar,Chennai,South,Metro,high,2022-06,2022,6,Q2,21,5305,242,53.44,24.3,29.14,54.53,346.32,517.11,1.06,73.71,1007.35,0.4547,2.5448,4.45
BRN004,Adyar,Chennai,South,Metro,high,2022-07,2022,7,Q3,21,4988,227,50.24,25.29,24.95,49.66,325.61,486.17,0.52,76.46,1007.22,0.5034,2.3924,4.46
BRN004,Adyar,Chennai,South,Metro,high,2022-08,2022,8,Q3,21,5078,231,51.15,25.38,25.77,50.38,331.49,494.96,0.48,73.4,1007.29,0.4962,2.4357,4.04
BRN004,Adyar,Chennai,South,Metro,high,2022-09,2022,9,Q3,21,5177,236,52.15,25.14,27.01,51.79,337.93,504.58,1.47,66.28,1007.34,0.4821,2.4833,4.1
BRN004,Adyar,Chennai,South,Metro,high,2022-10,2022,10,Q4,21,5667,258,57.08,22.83,34.25,60.0,369.92,552.34,1.28,87.94,1007.23,0.4,2.7181,4.05
BRN004,Adyar,Chennai,South,Metro,high,2022-11,2022,11,Q4,21,5933,270,59.76,24.35,35.41,59.25,387.28,578.26,0.11,87.43,1007.25,0.4075,2.8457,4.68
BRN004,Adyar,Chennai,South,Metro,high,2022-12,2022,12,Q4,21,5777,263,58.19,24.77,33.42,57.43,377.13,563.1,1.32,77.31,1007.27,0.4257,2.771,4.61
BRN004,Adyar,Chennai,South,Metro,high,2023-01,2023,1,Q1,21,4678,213,47.13,25.11,22.02,46.72,305.42,456.03,1.75,81.35,1007.48,0.5328,2.2443,4.18
BRN004,Adyar,Chennai,South,Metro,high,2023-02,2023,2,Q1,21,4597,209,46.31,24.81,21.5,46.43,300.12,448.13,1.3,82.66,1007.4,0.5357,2.2052,4.41
BRN004,Adyar,Chennai,South,Metro,high,2023-03,2023,3,Q1,21,4799,219,48.34,24.15,24.19,50.04,313.3,467.79,0.65,78.66,1007.29,0.4996,2.3019,4.69
BRN004,Adyar,Chennai,South,Metro,high,2023-04,2023,4,Q2,21,5168,235,52.06,24.0,28.06,53.9,337.36,503.72,1.03,69.64,1007.35,0.461,2.479,4.42
BRN004,Adyar,Chennai,South,Metro,high,2023-05,2023,5,Q2,21,5580,254,56.21,22.94,33.27,59.19,364.25,543.88,0.1,67.68,1007.35,0.4081,2.6767,4.13
BRN004,Adyar,Chennai,South,Metro,high,2023-06,2023,6,Q2,21,5482,250,55.22,24.44,30.78,55.74,357.85,534.32,0.28,84.57,1007.3,0.4426,2.6295,4.59
BRN004,Adyar,Chennai,South,Metro,high,2023-07,2023,7,Q3,21,5809,265,58.51,23.86,34.65,59.22,379.19,566.19,1.78,69.72,1007.23,0.4078,2.7862,4.69
BRN004,Adyar,Chennai,South,Metro,high,2023-08,2023,8,Q3,21,5547,253,55.88,25.36,30.52,54.62,362.12,540.69,0.18,82.97,1007.39,0.4538,2.661,4.54
BRN004,Adyar,Chennai,South,Metro,high,2023-09,2023,9,Q3,21,5948,271,59.91,24.85,35.06,58.52,388.28,579.76,1.5,69.29,1007.23,0.4148,2.8529,4.6
BRN004,Adyar,Chennai,South,Metro,high,2023-10,2023,10,Q4,21,5503,251,55.44,24.52,30.92,55.77,359.27,536.44,0.64,78.53,1007.45,0.4423,2.64,4.67
